src,dst,kind
article-23,article-23.1,HAS_SUBUNIT
article-23.1,article-23.1.a,HAS_SUBUNIT
article-23.1.a,article-23.1.a.b,HAS_SUBUNIT
article-23.1.a.b,article-23.1.a.b.c,HAS_SUBUNIT
article-23.1.a.b.c,article-23.1.a.b.c.d,HAS_SUBUNIT
article-23.1.a.b.c.d,article-23.2,HAS_SUBUNIT
article-23.2,article-23.3,HAS_SUBUNIT
article-23.3,article-23.4,HAS_SUBUNIT
article-23.4,article-23.5,HAS_SUBUNIT
article-23.5,article-23.6,HAS_SUBUNIT
article-23.6,article-23.7,HAS_SUBUNIT
article-24,article-24.1,HAS_SUBUNIT
article-24.1,article-24.2,HAS_SUBUNIT
article-24.2,article-24.3,HAS_SUBUNIT
article-24.3,article-24.4,HAS_SUBUNIT
article-24.4,article-24.5,HAS_SUBUNIT
article-24.5,article-24.6,HAS_SUBUNIT
article-25,article-25.1,HAS_SUBUNIT
article-25.1,article-25.1.a,HAS_SUBUNIT
article-25.1.a,article-25.1.a.b,HAS_SUBUNIT
article-25.1.a.b,article-25.1.a.b.c,HAS_SUBUNIT
article-25.1.a.b.c,article-25.2,HAS_SUBUNIT
article-25.2,article-25.a,HAS_SUBUNIT
article-25.a,article-25.b,HAS_SUBUNIT
article-25.b,article-25.c,HAS_SUBUNIT
article-25.c,article-25.3,HAS_SUBUNIT
article-25.3,article-25.3.a,HAS_SUBUNIT
article-25.3.a,article-25.3.a.b,HAS_SUBUNIT
article-25.3.a.b,article-25.4,HAS_SUBUNIT
article-25.4,article-25.5,HAS_SUBUNIT
article-26,article-26.1,HAS_SUBUNIT
article-26.1,article-26.2,HAS_SUBUNIT
article-26.2,article-26.3,HAS_SUBUNIT
article-26.3,article-26.4,HAS_SUBUNIT
article-26.4,article-26.5,HAS_SUBUNIT
article-26.5,article-26.6,HAS_SUBUNIT
article-26.6,article-26.7,HAS_SUBUNIT
article-26.7,article-26.8,HAS_SUBUNIT
article-26.8,article-26.9,HAS_SUBUNIT
article-26.9,article-26.10,HAS_SUBUNIT
article-26.10,article-26.11,HAS_SUBUNIT
article-26.11,article-26.12,HAS_SUBUNIT
article-27,article-27.1,HAS_SUBUNIT
article-27.1,article-27.1.a,HAS_SUBUNIT
article-27.1.a,article-27.1.a.b,HAS_SUBUNIT
article-27.1.a.b,article-27.1.a.b.c,HAS_SUBUNIT
article-27.1.a.b.c,article-27.1.a.b.c.d,HAS_SUBUNIT
article-27.1.a.b.c.d,article-27.1.a.b.c.d.e,HAS_SUBUNIT
article-27.1.a.b.c.d.e,article-27.1.a.b.c.d.e.f,HAS_SUBUNIT
article-27.1.a.b.c.d.e.f,article-27.2,HAS_SUBUNIT
article-27.2,article-27.3,HAS_SUBUNIT
article-27.3,article-27.4,HAS_SUBUNIT
article-27.4,article-27.5,HAS_SUBUNIT
article-28,article-28.1,HAS_SUBUNIT
article-28.1,article-28.2,HAS_SUBUNIT
article-28.2,article-28.3,HAS_SUBUNIT
article-28.3,article-28.4,HAS_SUBUNIT
article-28.4,article-28.5,HAS_SUBUNIT
article-28.5,article-28.6,HAS_SUBUNIT
article-28.6,article-28.7,HAS_SUBUNIT
article-28.7,article-28.8,HAS_SUBUNIT
article-28.8,article-28.9,HAS_SUBUNIT
article-29,article-29.1,HAS_SUBUNIT
article-29.1,article-29.2,HAS_SUBUNIT
article-29.2,article-29.3,HAS_SUBUNIT
article-29.3,article-29.4,HAS_SUBUNIT
article-3,article-3.1,HAS_SUBUNIT
article-3.1,article-3.2,HAS_SUBUNIT
article-3.2,article-3.3,HAS_SUBUNIT
article-3.3,article-3.4,HAS_SUBUNIT
article-3.4,article-3.5,HAS_SUBUNIT
article-3.5,article-3.6,HAS_SUBUNIT
article-3.6,article-3.7,HAS_SUBUNIT
article-3.7,article-3.8,HAS_SUBUNIT
article-3.8,article-3.9,HAS_SUBUNIT
article-3.9,article-3.10,HAS_SUBUNIT
article-3.10,article-3.11,HAS_SUBUNIT
article-3.11,article-3.12,HAS_SUBUNIT
article-3.12,article-3.13,HAS_SUBUNIT
article-3.13,article-3.14,HAS_SUBUNIT
article-3.14,article-3.14a,HAS_SUBUNIT
article-3.14a,article-3.14b,HAS_SUBUNIT
article-3.14b,article-3.15,HAS_SUBUNIT
article-3.15,article-3.16,HAS_SUBUNIT
article-3.16,article-3.17,HAS_SUBUNIT
article-3.17,article-3.18,HAS_SUBUNIT
article-3.18,article-3.19,HAS_SUBUNIT
article-3.19,article-3.20,HAS_SUBUNIT
article-3.20,article-3.21,HAS_SUBUNIT
article-3.21,article-3.22,HAS_SUBUNIT
